Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Tom	0:0 2/2/2020	142
Tom	0:0 2/2/2020	136
Mike	14:26 2/2/2020	156
Jim	14:26 2/2/2020	164
Tom	14:26 2/2/2020	92
Lana	14:26 2/2/2020	148
sumba	14:26 2/2/2020	123
Mike	14:30 2/2/2020	128
Jim	14:30 2/2/2020	118
Tom	14:30 2/2/2020	105
sumba	14:30 2/2/2020	118
Lana	14:30 2/2/2020	139
Jim	14:39 2/2/2020	146
sumba	14:39 2/2/2020	128
Tom	14:39 2/2/2020	105
Mike	14:39 2/2/2020	118
Lana	14:39 2/2/2020	157
sumba	14:46 2/2/2020	157
Mike	14:46 2/2/2020	159
Jim	14:46 2/2/2020	143
Lana	14:46 2/2/2020	119
Tom	14:46 2/2/2020	126
sumba	14:51 2/2/2020	101
Lana	14:51 2/2/2020	134
sumba	14:57 2/2/2020	109
Lana	14:57 2/2/2020	125
sumba	15:25 2/2/2020	103
Tom	15:25 2/2/2020	139
sumba	15:48 2/2/2020	138
sumba	15:51 2/2/2020	165
Jim	18:26 2/2/2020	160
Tom	18:26 2/2/2020	164
Mike	18:26 2/2/2020	132
sumba	18:26 2/2/2020	139
Trump	18:26 2/2/2020	91
Lana	18:27 2/2/2020	99
Tom	18:27 2/2/2020	145
Tom	18:28 2/2/2020	112
TomH	18:59 2/2/2020	126
sumba	18:59 2/2/2020	138
Lana	18:59 2/2/2020	99
Tom	20:2 2/2/2020	135
Lana	20:3 2/2/2020	123
Jim	20:3 2/2/2020	174
TomH	20:3 2/2/2020	131
sumba	20:16 2/2/2020	156
Tom	20:17 2/2/2020	155
sumba	20:17 2/2/2020	117
Jim	20:17 2/2/2020	120
sumba	23:35 2/2/2020	118
Tom	1:54 3/1/2020	111
TomH	1:54 3/1/2020	170
Lana	3:11 3/1/2020	94
Trump	3:11 3/1/2020	154
Tom	3:12 3/1/2020	121
TomH	3:12 3/1/2020	95
Mike	3:16 3/1/2020	136
Jim	3:17 3/1/2020	106
Jim	3:17 3/1/2020	102
TomH	3:17 3/1/2020	145
Tom	3:17 3/1/2020	129
Tom	3:18 3/1/2020	135
TomH	3:18 3/1/2020	144
Tom	12:41 3/1/2020	145
Lana	12:41 3/1/2020	112
aaa	12:41 3/1/2020	134
Lana	12:52 3/1/2020	137
sumba	12:52 3/1/2020	104
Trump	12:52 3/1/2020	157
TomH	12:53 3/1/2020	154
Tom	12:53 3/1/2020	129
Trump	12:53 3/1/2020	128
aaa	12:53 3/1/2020	127
Tom	20:18 3/2/2020	148
Jim	20:18 3/2/2020	116
Tom	20:39 3/2/2020	123
Lana	20:39 3/2/2020	130
Tom	23:14 3/2/2020	157
Lana	0:19 3/3/2020	139
Mike	0:34 3/3/2020	163
Jim	0:38 3/3/2020	129
